,gdp_billions,unemployment_rate_pct,lfpr_pct,avg_hourly_earnings_nominal,avg_hourly_earnings_real,job_openings_thousands,total_nonfarm_employment,civilian_labor_force_thousands,wage_p10,wage_p50,wage_p90,fed_tax_revenue_pct_gdp,wage_growth_yoy,labor_market_tightness,gini_coefficient,avg_federal_tax_rate_pct,redist_eitc,redist_snap,redist_medicaid,redist_ui,workers_affected,days_idle,civil_unrest_events,protest_intensity_score
1981-06-30,-2.9,7.3999999999999995,64.06666666666666,,7.806666666666666,,91356.33333333333,108847.66666666667,,,,1037.406,,,0.38825728809446775,15.76,33.004839999999994,11.3270795,392.28125,18.942,728.9,16908.4,3.0,0.5000033482573505
1981-09-30,4.9,7.3999999999999995,63.699999999999996,,7.963333333333334,,91547.66666666667,108525.0,,,,1063.556,,,0.38825728809446775,15.76,33.004839999999994,11.3270795,392.28125,18.942,728.9,16908.4,3.0,0.5000033582123935
1981-12-31,-4.3,8.233333333333334,63.76666666666667,,8.076666666666666,,91148.66666666667,109057.33333333333,,,,1102.243,,,0.38825728809446775,15.76,33.004839999999994,11.3270795,392.28125,18.942,728.9,16908.4,3.0,0.5000033418202047
1982-03-31,-6.1,8.833333333333334,63.76666666666667,,8.236666666666666,,90520.66666666667,109374.33333333333,,,,1122.585,,,0.38825728809446775,14.72,33.004839999999994,11.3270795,392.28125,27.647,655.8,9061.2,1.0,0.5000029979611305
1982-06-30,1.8,9.433333333333334,64.0,,8.326666666666666,,90040.66666666667,110117.33333333333,,,,1150.143,,,0.38825728809446775,14.72,33.004839999999994,11.3270795,392.28125,27.647,655.8,9061.2,1.0,0.5000029777328425
1982-09-30,-1.5,9.9,64.06666666666666,,8.426666666666668,,89355.66666666667,110525.66666666667,,,,1185.946,,,0.38825728809446775,14.72,33.004839999999994,11.3270795,392.28125,27.647,655.8,9061.2,1.0,0.5000029667317094
1982-12-31,0.2,10.666666666666666,64.13333333333333,,8.463333333333333,,88821.33333333333,110959.0,,,,1222.288,,,0.38825728809446775,14.72,33.004839999999994,11.3270795,392.28125,27.647,655.8,9061.2,1.0,0.5000029551455943
1983-03-31,5.4,10.366666666666667,63.800000000000004,,8.566666666666666,,88999.0,110638.66666666667,,,,1245.639,,,0.38825728809446775,13.79,33.004839999999994,11.3270795,392.28125,28.845,909.4,17460.7,5.0,0.5000041097747623
1983-06-30,9.4,10.133333333333333,63.93333333333334,,8.636666666666667,,89676.33333333333,111167.66666666667,,,,1255.643,,,0.38825728809446775,13.79,33.004839999999994,11.3270795,392.28125,28.845,909.4,17460.7,5.0,0.500004090218079
1983-09-30,8.2,9.366666666666667,64.23333333333333,,8.726666666666667,,90604.33333333333,112095.0,,,,1289.036,,,0.38825728809446775,13.79,33.004839999999994,11.3270795,392.28125,28.845,909.4,17460.7,5.0,0.5000040563807485
1983-12-31,8.6,8.533333333333333,64.06666666666666,,8.836666666666666,,91875.0,112160.33333333333,,,,1299.51,,,0.38825728809446775,13.79,33.004839999999994,11.3270795,392.28125,28.845,909.4,17460.7,5.0,0.5000040540179089
1984-03-31,8.1,7.866666666666667,64.03333333333333,,8.93,,93086.33333333333,112512.33333333333,1329.0,5005.0,24275.0,1320.756,,,0.38825728809446775,13.68,33.004839999999994,11.3270795,392.28125,18.384,376.0,8498.8,5.0,0.5000016709279279
1984-06-30,7.1,7.433333333333334,64.46666666666665,,9.0,,94123.0,113521.33333333333,1329.0,5005.0,24275.0,1349.946,,,0.38825728809446775,13.68,33.004839999999994,11.3270795,392.28125,18.384,376.0,8498.8,5.0,0.5000016560763909
1984-09-30,3.9,7.433333333333334,64.46666666666667,,9.086666666666666,,95055.0,113837.0,1329.0,5005.0,24275.0,1380.135,,,0.38825728809446775,13.68,33.004839999999994,11.3270795,392.28125,18.384,376.0,8498.8,5.0,0.5000016514841396
1984-12-31,3.3,7.3,64.5,,9.186666666666667,,95906.0,114256.66666666667,1329.0,5005.0,24275.0,1423.836,,,0.38825728809446775,13.68,33.004839999999994,11.3270795,392.28125,18.384,376.0,8498.8,5.0,0.5000016454182105
1985-03-31,3.9,7.233333333333333,64.76666666666667,,9.293333333333333,,96572.33333333333,114976.33333333333,1451.0,5497.0,25905.0,1450.988,,,0.38825728809446775,13.73,33.004839999999994,11.3270795,392.28125,18.53,323.9,7079.1,0.0,0.5000014085507453
1985-06-30,3.6,7.3,64.76666666666667,,9.37,,97269.66666666667,115176.66666666667,1451.0,5497.0,25905.0,1483.531,,,0.38825728809446775,13.73,33.004839999999994,11.3270795,392.28125,18.53,323.9,7079.1,0.0,0.5000014061007727
1985-09-30,6.3,7.2,64.73333333333333,,9.43,,97844.33333333333,115505.33333333333,1451.0,5497.0,25905.0,1514.893,,,0.38825728809446775,13.73,33.004839999999994,11.3270795,392.28125,18.53,323.9,7079.1,0.0,0.5000014020997587
1985-12-31,3.0,7.033333333333334,64.96666666666667,,9.5,,98428.33333333333,116211.33333333333,1451.0,5497.0,25905.0,1537.959,,,0.38825728809446775,13.73,33.004839999999994,11.3270795,392.28125,18.53,323.9,7079.1,0.0,0.5000013935818078
1986-03-31,3.8,7.033333333333334,65.0,,9.556666666666667,,98837.66666666667,116928.0,1324.0,5308.0,26410.0,1557.805,,,0.38825728809446775,14.54,33.004839999999994,11.3270795,392.28125,19.279,533.1,11860.5,0.0,0.5000022796079638
