,gdp_billions,unemployment_rate_pct,lfpr_pct,avg_hourly_earnings_nominal,avg_hourly_earnings_real,job_openings_thousands,total_nonfarm_employment,civilian_labor_force_thousands,wage_p10,wage_p50,wage_p90,fed_tax_revenue_pct_gdp,wage_growth_yoy,labor_market_tightness,gini_coefficient,avg_federal_tax_rate_pct,redist_eitc,redist_snap,redist_medicaid,redist_ui,workers_affected,days_idle,civil_unrest_events,protest_intensity_score
1985-03-31,4230.168,7.233333333333333,64.76666666666667,,9.293333333333333,,96572.33333333333,114976.33333333333,1451.0,5497.0,25905.0,1450.988,,,0.37641511806,13.73,2.088,11.3270795,41.0,18.53,323.9,7079.1,0.0,0.04415234133743488
1985-06-30,4294.887,7.3,64.76666666666667,,9.37,,97269.66666666667,115176.66666666667,1451.0,5497.0,25905.0,1483.531,,,0.37641511806,13.73,2.088,11.3270795,41.0,18.53,323.9,7079.1,0.0,0.04401070165552045
1985-09-30,4386.773,7.2,64.73333333333333,,9.43,,97844.33333333333,115505.33333333333,1451.0,5497.0,25905.0,1514.893,,,0.37641511806,13.73,2.088,11.3270795,41.0,18.53,323.9,7079.1,0.0,0.043779062948696504
1985-12-31,4444.094,7.033333333333334,64.96666666666667,,9.5,,98428.33333333333,116211.33333333333,1451.0,5497.0,25905.0,1537.959,,,0.37641511806,13.73,2.088,11.3270795,41.0,18.53,323.9,7079.1,0.0,0.043284550388125835
1986-03-31,4507.894,7.033333333333334,65.0,,9.556666666666667,,98837.66666666667,116928.0,1324.0,5308.0,26410.0,1557.805,,,0.375571302145,14.54,2.009,11.3270795,41.0,19.279,533.1,11860.5,0.0,0.08750645214120106
1986-06-30,4545.34,7.166666666666667,65.23333333333333,,9.576666666666666,,99174.66666666667,117642.66666666667,1324.0,5308.0,26410.0,1583.014,,,0.375571302145,14.54,2.009,11.3270795,41.0,19.279,533.1,11860.5,0.0,0.08692170147899511
1986-09-30,4607.669,6.966666666666666,65.36666666666667,,9.603333333333333,,99665.0,118224.66666666667,1324.0,5308.0,26410.0,1625.336,,,0.375571302145,14.54,2.009,11.3270795,41.0,19.279,533.1,11860.5,0.0,0.08644889001055346
1986-12-31,4657.627,6.833333333333333,65.36666666666667,,9.64,,100312.66666666667,118587.0,1324.0,5308.0,26410.0,1625.422,,,0.375571302145,14.54,2.009,11.3270795,41.0,19.279,533.1,11860.5,0.0,0.08615605493041538
1987-03-31,4722.156,6.599999999999999,65.46666666666667,,9.69,,100920.33333333333,119079.0,1304.0,6042.0,27480.0,1646.039,,,0.371971021924,13.12,3.391,11.3270795,41.0,17.379,174.4,4481.4,0.0,0.0007960736839700445
1987-06-30,4806.16,6.266666666666667,65.53333333333335,,9.726666666666667,,101709.0,119662.66666666667,1304.0,6042.0,27480.0,1671.574,,,0.371971021924,13.12,3.391,11.3270795,41.0,17.379,174.4,4481.4,0.0,0.00048731275883791503
1987-09-30,4884.555,6.0,65.60000000000001,,9.796666666666667,,102438.0,120077.0,1304.0,6042.0,27480.0,1686.72,,,0.371971021924,13.12,3.391,11.3270795,41.0,17.379,174.4,4481.4,0.0,0.00026950279211482487
1987-12-31,5007.994,5.833333333333333,65.7,,9.866666666666667,,103390.33333333333,120592.66666666667,1304.0,6042.0,27480.0,1720.341,,,0.371971021924,13.12,3.391,11.3270795,41.0,17.379,174.4,4481.4,0.0,0.0
1988-03-31,5073.372,5.7,65.8,,9.923333333333334,,104152.0,121012.66666666667,1520.0,6853.0,29013.0,1734.527,,,0.377059976561,13.21,5.896,11.3270795,41.0,16.121,2500.0,2879500.0,0.0,0.5281982037141282
1988-06-30,5190.036,5.466666666666666,65.76666666666667,,10.016666666666666,,105006.66666666667,121265.0,1520.0,6853.0,29013.0,1750.068,,,0.377059976561,13.21,5.896,11.3270795,41.0,16.121,2500.0,2879500.0,0.0,0.5279086178285664
1988-09-30,5282.835,5.466666666666666,65.96666666666667,,10.08,,105745.66666666667,121916.66666666667,1520.0,6853.0,29013.0,1762.317,,,0.377059976561,13.21,5.896,11.3270795,41.0,16.121,2500.0,2879500.0,0.0,0.527163590942469
1988-12-31,5399.509,5.333333333333333,66.10000000000001,,10.183333333333332,,106597.0,122488.33333333333,1520.0,6853.0,29013.0,1810.921,,,0.377059976561,13.21,5.896,11.3270795,41.0,16.121,2500.0,2879500.0,0.0,0.526513377452743
1989-03-31,5511.253,5.2,66.36666666666666,,10.26,,107403.0,123250.66666666667,1833.0,7330.0,31323.0,1844.66,,,0.382388623988,13.12,6.595,11.669780000000001,41.0,17.223,2500.0,2879500.0,0.0,0.5256511219811985
1989-06-30,5612.463,5.233333333333333,66.39999999999999,,10.303333333333333,,107910.33333333333,123678.0,1833.0,7330.0,31323.0,1882.377,,,0.382388623988,13.12,6.595,11.669780000000001,41.0,17.223,2500.0,2879500.0,0.0,0.5251701640378331
1989-09-30,5695.365,5.233333333333333,66.46666666666667,,10.386666666666667,,108186.0,124025.66666666667,1833.0,7330.0,31323.0,1914.589,,,0.382388623988,13.12,6.595,11.669780000000001,41.0,17.223,2500.0,2879500.0,0.0,0.5247801248519193
1989-12-31,5747.237,5.366666666666667,66.53333333333333,,10.453333333333333,,108688.0,124448.33333333333,1833.0,7330.0,31323.0,1946.345,,,0.382388623988,13.12,6.595,11.669780000000001,41.0,17.223,2500.0,2879500.0,0.0,0.5243074516816009
1990-03-31,5872.701,5.3,66.73333333333333,,10.62,,109424.0,125781.33333333333,1754.0,7356.0,32262.0,1998.201,,,0.382633520839,12.95,7.512,14.142790000000002,72.0,21.26,2500.0,2879500.0,3.0,0.5228274510285059
1990-06-30,5960.028,5.333333333333333,66.53333333333333,,10.733333333333334,,109784.0,125705.0,1754.0,7356.0,32262.0,2033.14,,,0.382633520839,12.95,7.512,14.142790000000002,72.0,21.26,2500.0,2879500.0,3.0,0.5229117672234366
1990-09-30,6015.116,5.7,66.46666666666667,,10.823333333333332,,109648.0,125871.33333333333,1754.0,7356.0,32262.0,2059.882,,,0.382633520839,12.95,7.512,14.142790000000002,72.0,21.26,2500.0,2879500.0,3.0,0.5227281062983178
1990-12-31,6004.733,6.133333333333333,66.4,,10.913333333333334,,109255.66666666667,126069.0,1754.0,7356.0,32262.0,2130.473,,,0.382633520839,12.95,7.512,14.142790000000002,72.0,21.26,2500.0,2879500.0,3.0,0.5225101712683968
1991-03-31,6035.178,6.6000000000000005,66.23333333333333,,10.979999999999999,,108787.0,126071.0,1764.0,7788.0,34000.0,2069.787,,,0.380457742647,12.75,11.105,17.31577,72.0,30.304,2500.0,2879500.0,4.0,0.5225079679833217
1991-06-30,6126.862,6.833333333333333,66.26666666666667,,11.090000000000002,,108311.0,126351.66666666667,1764.0,7788.0,34000.0,2147.775,,,0.380457742647,12.75,11.105,17.31577,72.0,30.304,2500.0,2879500.0,4.0,0.5221991285794222
1991-09-30,6205.937,6.866666666666667,66.10000000000001,,11.186666666666667,,108308.33333333333,126318.0,1764.0,7788.0,34000.0,2209.802,,,0.380457742647,12.75,11.105,17.31577,72.0,30.304,2500.0,2879500.0,4.0,0.5222361374819319
1991-12-31,6264.54,7.1000000000000005,66.06666666666666,,11.26,,108330.33333333333,126669.0,1764.0,7788.0,34000.0,2239.204,,,0.380457742647,12.75,11.105,17.31577,72.0,30.304,2500.0,2879500.0,4.0,0.5218507882838244
